0:0:0:0:0:0:0:1 - - [16/Nov/2024:12:08:17 +0100] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:29 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=POLIT HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:30 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=POLIT HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:30 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=POLITI HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:30 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=POLITIC HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:30 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=POLITICA HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:34 +0100] "GET /05_TecWeb/5_rssfeed.html HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:34 +0100] "GET /05_TecWeb/styles/somestyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:34 +0100] "GET /05_TecWeb/scripts/rssparser.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:34 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:35 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 200 4534
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:44 +0100] "GET /05_TecWeb/contents/feed.jsp?category=ECONOMIA HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:44 +0100] "GET /05_TecWeb/contents/feed.jsp?category=ECONOMIA HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:44 +0100] "GET /05_TecWeb/contents/feed.jsp?category=ECONOMIA HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:44 +0100] "GET /05_TecWeb/contents/feed.jsp?category=ECONOMIA HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:44 +0100] "GET /05_TecWeb/styles/rss.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:48 +0100] "GET /05_TecWeb/5_rssfeed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:48 +0100] "GET /05_TecWeb/5_rssfeed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:48 +0100] "GET /05_TecWeb/5_rssfeed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:48 +0100] "GET /05_TecWeb/5_rssfeed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:48 +0100] "GET /05_TecWeb/5_rssfeed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:48 +0100] "GET /05_TecWeb/5_rssfeed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:54:54 +0100] "GET /05_TecWeb/contents/feed.jsp?category=POLITICA HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:03:44 +0100] "GET /05_TecWeb/5_rssfeed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:03:44 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:08:36 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:14:41 +0100] "GET /05_TecWeb/5_rssfeed.html HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:14:42 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 200 4539
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:14:43 +0100] "GET /05_TecWeb/5_rssfeed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:14:47 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:14:51 +0100] "GET /05_TecWeb/contents/feed.jsp?category=ECONOMIA HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:15:17 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:15:17 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:15:30 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:15:30 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:16:42 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:16:42 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:17:37 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:17:43 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:21:24 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:21:31 +0100] "GET /05_TecWeb/contents/feed.jsp?category=ECONOMIA HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:21:55 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:06 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:06 +0100] "GET /05_TecWeb/styles/somestyle.css HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:06 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 200 4539
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:06 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:06 +0100] "GET /05_TecWeb/scripts/rssparser.js HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:06 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:13 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:13 +0100] "GET /05_TecWeb/styles/somestyle.css HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:13 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:13 +0100] "GET /05_TecWeb/scripts/rssparser.js HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:13 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 200 4539
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:13 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:18 +0100] "GET /05_TecWeb/contents/feed.jsp?category=ECONOMIA HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:18 +0100] "GET /05_TecWeb/styles/rss.jpg HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:29 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:29 +0100] "GET /05_TecWeb/styles/somestyle.css HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:29 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:29 +0100] "GET /05_TecWeb/scripts/rssparser.js HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:29 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 200 4539
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:35 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:35 +0100] "GET /05_TecWeb/styles/somestyle.css HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:35 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:35 +0100] "GET /05_TecWeb/scripts/rssparser.js HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [16/Nov/2024:16:22:35 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 200 4539
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:27:32 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:27:33 +0100] "GET /05_TecWeb/styles/somestyle.css HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:27:33 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 200 4539
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:27:33 +0100] "GET /05_TecWeb/scripts/rssparser.js HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:27:33 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:27:33 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:27:39 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:27:40 +0100] "GET /05_TecWeb/styles/somestyle.css HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:27:40 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:27:40 +0100] "GET /05_TecWeb/scripts/rssparser.js HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:27:40 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 200 4539
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:31:14 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 2342
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:31:14 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 200 4564
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:31:26 +0100] "GET /05_TecWeb/categ.jsp?inizio=E HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:31:26 +0100] "GET /05_TecWeb/categ.jsp?inizio=E HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:31:26 +0100] "GET /05_TecWeb/categ.jsp?inizio=E HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:31:27 +0100] "GET /05_TecWeb/categ.jsp?inizio=EC HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:31:27 +0100] "GET /05_TecWeb/categ.jsp?inizio=ECO HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:31:27 +0100] "GET /05_TecWeb/categ.jsp?inizio=ECON HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:31:27 +0100] "GET /05_TecWeb/categ.jsp?inizio=ECONO HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:31:28 +0100] "GET /05_TecWeb/categ.jsp?inizio=ECONOM HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:32:21 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 2342
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:32:21 +0100] "GET /05_TecWeb/styles/somestyle.css HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:32:21 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:32:21 +0100] "GET /05_TecWeb/scripts/rssparser.js HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:32:21 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 200 4564
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:32:21 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:32:24 +0100] "GET /05_TecWeb/categ.jsp?inizio=E HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:32:24 +0100] "GET /05_TecWeb/categ.jsp?inizio=EC HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:32:24 +0100] "GET /05_TecWeb/categ.jsp?inizio=ECO HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:17 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 2351
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:17 +0100] "GET /05_TecWeb/styles/somestyle.css HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:17 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:17 +0100] "GET /05_TecWeb/scripts/rssparser.js HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:17 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 200 4564
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:17 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:18 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 2351
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:18 +0100] "GET /05_TecWeb/styles/somestyle.css HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:18 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 200 4564
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:18 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:18 +0100] "GET /05_TecWeb/scripts/rssparser.js HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:18 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:23 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 2351
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:23 +0100] "GET /05_TecWeb/styles/somestyle.css HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:23 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:23 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 200 4564
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:23 +0100] "GET /05_TecWeb/scripts/rssparser.js HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:23 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:27 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio= HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:27 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=E HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:28 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=ECONOMIA%3C%3Fxml%20version%3D%271.0%27%20encoding%3D%27ISO-8859-1%27%3F%3E%3C!--%20NOTA%20BENE!!!%20%20Il%20PROLOGO%20XML%20deve%20SEMPRE%20essere%20collocato%20nella%20PRIMA%20RIGA!Nessun%20carattere%20in%20output%20fino%20a%20questo%20momento!!%20Usero%27%20ora%20l%27out%20della%20jsp%20per%20restituire%20l%27xml%20che%20ajax%20si%20attende!!!!OSSERVATE%20IL%20TRAFFICO%20HTTP%20NEL%20TUNNEL!!!!!--%3E%3C!--%20pagina%20per%20la%20gestione%20di%20errori%20--%3E%3C!--%20accesso%20alla%20sessione%20--%3E%3C!--%20import%20di%20classi%20Java%20--%3E%3C!--%20creazione%20Java%20Bean%20con%20scope%20di%20applicazione%20--%3E%3C!--%20segue%20quindi%20il%20codice....%20questa%20volta%20NON%20HTML!!!!!%20...%20restituito%20al%20client%20--%3EC HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:28 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=%3C%3Fxml%20version%3D%271.0%27%20encoding%3D%27ISO-8859-1%27%3F%3E%3C!--%20NOTA%20BENE!!!%20%20Il%20PROLOGO%20XML%20deve%20SEMPRE%20essere%20collocato%20nella%20PRIMA%20RIGA!Nessun%20carattere%20in%20output%20fino%20a%20questo%20momento!!%20Usero%27%20ora%20l%27out%20della%20jsp%20per%20restituire%20l%27xml%20che%20ajax%20si%20attende!!!!OSSERVATE%20IL%20TRAFFICO%20HTTP%20NEL%20TUNNEL!!!!!--%3E%3C!--%20pagina%20per%20la%20gestione%20di%20errori%20--%3E%3C!--%20accesso%20alla%20sessione%20--%3E%3C!--%20import%20di%20classi%20Java%20--%3E%3C!--%20creazione%20Java%20Bean%20con%20scope%20di%20applicazione%20--%3E%3C!--%20segue%20quindi%20il%20codice....%20questa%20volta%20NON%20HTML!!!!!%20...%20restituito%20al%20client%20--%3EO HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:29 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=%3C%3Fxml%20version%3D%271.0%27%20encoding%3D%27ISO-8859-1%27%3F%3E%3C!--%20NOTA%20BENE!!!%20%20Il%20PROLOGO%20XML%20deve%20SEMPRE%20essere%20collocato%20nella%20PRIMA%20RIGA!Nessun%20carattere%20in%20output%20fino%20a%20questo%20momento!!%20Usero%27%20ora%20l%27out%20della%20jsp%20per%20restituire%20l%27xml%20che%20ajax%20si%20attende!!!!OSSERVATE%20IL%20TRAFFICO%20HTTP%20NEL%20TUNNEL!!!!!--%3E%3C!--%20pagina%20per%20la%20gestione%20di%20errori%20--%3E%3C!--%20accesso%20alla%20sessione%20--%3E%3C!--%20import%20di%20classi%20Java%20--%3E%3C!--%20creazione%20Java%20Bean%20con%20scope%20di%20applicazione%20--%3E%3C!--%20segue%20quindi%20il%20codice....%20questa%20volta%20NON%20HTML!!!!!%20...%20restituito%20al%20client%20--%3EN HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:29 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=%3C%3Fxml%20version%3D%271.0%27%20encoding%3D%27ISO-8859-1%27%3F%3E%3C!--%20NOTA%20BENE!!!%20%20Il%20PROLOGO%20XML%20deve%20SEMPRE%20essere%20collocato%20nella%20PRIMA%20RIGA!Nessun%20carattere%20in%20output%20fino%20a%20questo%20momento!!%20Usero%27%20ora%20l%27out%20della%20jsp%20per%20restituire%20l%27xml%20che%20ajax%20si%20attende!!!!OSSERVATE%20IL%20TRAFFICO%20HTTP%20NEL%20TUNNEL!!!!!--%3E%3C!--%20pagina%20per%20la%20gestione%20di%20errori%20--%3E%3C!--%20accesso%20alla%20sessione%20--%3E%3C!--%20import%20di%20classi%20Java%20--%3E%3C!--%20creazione%20Java%20Bean%20con%20scope%20di%20applicazione%20--%3E%3C!--%20segue%20quindi%20il%20codice....%20questa%20volta%20NON%20HTML!!!!!%20...%20restituito%20al%20client%20--%3EO HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:29 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=%3C%3Fxml%20version%3D%271.0%27%20encoding%3D%27ISO-8859-1%27%3F%3E%3C!--%20NOTA%20BENE!!!%20%20Il%20PROLOGO%20XML%20deve%20SEMPRE%20essere%20collocato%20nella%20PRIMA%20RIGA!Nessun%20carattere%20in%20output%20fino%20a%20questo%20momento!!%20Usero%27%20ora%20l%27out%20della%20jsp%20per%20restituire%20l%27xml%20che%20ajax%20si%20attende!!!!OSSERVATE%20IL%20TRAFFICO%20HTTP%20NEL%20TUNNEL!!!!!--%3E%3C!--%20pagina%20per%20la%20gestione%20di%20errori%20--%3E%3C!--%20accesso%20alla%20sessione%20--%3E%3C!--%20import%20di%20classi%20Java%20--%3E%3C!--%20creazione%20Java%20Bean%20con%20scope%20di%20applicazione%20--%3E%3C!--%20segue%20quindi%20il%20codice....%20questa%20volta%20NON%20HTML!!!!!%20...%20restituito%20al%20client%20--%3EM HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:29 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=%3C%3Fxml%20version%3D%271.0%27%20encoding%3D%27ISO-8859-1%27%3F%3E%3C!--%20NOTA%20BENE!!!%20%20Il%20PROLOGO%20XML%20deve%20SEMPRE%20essere%20collocato%20nella%20PRIMA%20RIGA!Nessun%20carattere%20in%20output%20fino%20a%20questo%20momento!!%20Usero%27%20ora%20l%27out%20della%20jsp%20per%20restituire%20l%27xml%20che%20ajax%20si%20attende!!!!OSSERVATE%20IL%20TRAFFICO%20HTTP%20NEL%20TUNNEL!!!!!--%3E%3C!--%20pagina%20per%20la%20gestione%20di%20errori%20--%3E%3C!--%20accesso%20alla%20sessione%20--%3E%3C!--%20import%20di%20classi%20Java%20--%3E%3C!--%20creazione%20Java%20Bean%20con%20scope%20di%20applicazione%20--%3E%3C!--%20segue%20quindi%20il%20codice....%20questa%20volta%20NON%20HTML!!!!!%20...%20restituito%20al%20client%20--%3EI HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:29 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=%3C%3Fxml%20version%3D%271.0%27%20encoding%3D%27ISO-8859-1%27%3F%3E%3C!--%20NOTA%20BENE!!!%20%20Il%20PROLOGO%20XML%20deve%20SEMPRE%20essere%20collocato%20nella%20PRIMA%20RIGA!Nessun%20carattere%20in%20output%20fino%20a%20questo%20momento!!%20Usero%27%20ora%20l%27out%20della%20jsp%20per%20restituire%20l%27xml%20che%20ajax%20si%20attende!!!!OSSERVATE%20IL%20TRAFFICO%20HTTP%20NEL%20TUNNEL!!!!!--%3E%3C!--%20pagina%20per%20la%20gestione%20di%20errori%20--%3E%3C!--%20accesso%20alla%20sessione%20--%3E%3C!--%20import%20di%20classi%20Java%20--%3E%3C!--%20creazione%20Java%20Bean%20con%20scope%20di%20applicazione%20--%3E%3C!--%20segue%20quindi%20il%20codice....%20questa%20volta%20NON%20HTML!!!!!%20...%20restituito%20al%20client%20--%3E HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:33 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 2351
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:33 +0100] "GET /05_TecWeb/styles/somestyle.css HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:33 +0100] "GET /05_TecWeb/scripts/rssparser.js HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:33 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:33 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 200 4564
0:0:0:0:0:0:0:1 - - [16/Nov/2024:17:35:35 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 2351
