127.0.0.1 - - [27/Nov/2024:15:36:57 +0100] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:29 +0100] "POST /TW_Esame_StartingKit/Servlet3 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:31 +0100] "POST /TW_Esame_StartingKit/Servlet2 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:31 +0100] "POST /TW_Esame_StartingKit/Servlet1 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:31 +0100] "POST /TW_Esame_StartingKit/Servlet3 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:31 +0100] "POST /TW_Esame_StartingKit/Servlet4 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:33 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:33 +0100] "GET /TW_Esame_StartingKit/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:33 +0100] "GET /TW_Esame_StartingKit/scripts/splitcontrollo.js HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:33 +0100] "GET /TW_Esame_StartingKit/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:33 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:40 +0100] "POST /TW_Esame_StartingKit/Servlet1 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:40 +0100] "POST /TW_Esame_StartingKit/Servlet2 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:40 +0100] "POST /TW_Esame_StartingKit/Servlet3 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:40 +0100] "POST /TW_Esame_StartingKit/Servlet4 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:03:00 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:03:01 +0100] "GET /TW_Esame_StartingKit/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:03:01 +0100] "GET /TW_Esame_StartingKit/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:03:01 +0100] "GET /TW_Esame_StartingKit/scripts/splitcontrollo.js HTTP/1.1" 200 2718
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:03:01 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:03:06 +0100] "POST /TW_Esame_StartingKit/Servlet1 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:03:06 +0100] "POST /TW_Esame_StartingKit/Servlet3 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:03:06 +0100] "POST /TW_Esame_StartingKit/Servlet2 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:03:06 +0100] "POST /TW_Esame_StartingKit/Servlet4 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:05:16 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:05:16 +0100] "GET /TW_Esame_StartingKit/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:05:16 +0100] "GET /TW_Esame_StartingKit/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:05:16 +0100] "GET /TW_Esame_StartingKit/scripts/splitcontrollo.js HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:05:16 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:05:22 +0100] "POST /TW_Esame_StartingKit/Servlet3 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:05:22 +0100] "POST /TW_Esame_StartingKit/Servlet4 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:05:22 +0100] "POST /TW_Esame_StartingKit/Servlet1 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:05:22 +0100] "POST /TW_Esame_StartingKit/Servlet2 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:33:30 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:33:31 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:33:31 +0100] "GET /TW_Esame_StartingKit/styles/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:33:31 +0100] "GET /TW_Esame_StartingKit/scripts/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:33:31 +0100] "GET /TW_Esame_StartingKit/scripts/splitcontrollo.js HTTP/1.1" 200 2745
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:33:37 +0100] "POST /TW_Esame_StartingKit/Servlet1 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:33:37 +0100] "POST /TW_Esame_StartingKit/Servlet2 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:33:37 +0100] "POST /TW_Esame_StartingKit/Servlet3 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:33:37 +0100] "POST /TW_Esame_StartingKit/Servlet4 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:34:06 +0100] "POST /TW_Esame_StartingKit/Servlet1 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:34:06 +0100] "POST /TW_Esame_StartingKit/Servlet2 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:34:06 +0100] "POST /TW_Esame_StartingKit/Servlet3 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:34:06 +0100] "POST /TW_Esame_StartingKit/Servlet4 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:34:07 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:34:07 +0100] "GET /TW_Esame_StartingKit/scripts/splitcontrollo.js HTTP/1.1" 200 2745
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:34:07 +0100] "GET /TW_Esame_StartingKit/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:34:07 +0100] "GET /TW_Esame_StartingKit/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:34:07 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:34:13 +0100] "POST /TW_Esame_StartingKit/Servlet1 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:34:13 +0100] "POST /TW_Esame_StartingKit/Servlet2 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:34:13 +0100] "POST /TW_Esame_StartingKit/Servlet3 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:34:13 +0100] "POST /TW_Esame_StartingKit/Servlet4 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [27/Nov/2024:20:49:07 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [27/Nov/2024:20:49:07 +0100] "GET /TW_Esame_StartingKit/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [27/Nov/2024:20:49:07 +0100] "GET /TW_Esame_StartingKit/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [27/Nov/2024:20:49:07 +0100] "GET /TW_Esame_StartingKit/scripts/splitcontrollo.js HTTP/1.1" 200 2745
0:0:0:0:0:0:0:1 - - [27/Nov/2024:20:49:07 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Nov/2024:20:49:15 +0100] "POST /TW_Esame_StartingKit/Servlet2 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:20:49:15 +0100] "POST /TW_Esame_StartingKit/Servlet3 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:20:49:15 +0100] "POST /TW_Esame_StartingKit/Servlet1 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:20:49:15 +0100] "POST /TW_Esame_StartingKit/Servlet4 HTTP/1.1" 200 5
